coverage,location,scenario,metric,value,low,high
30,kenya,Catch-up 30-45: TTV,cancers,340295.2457,332922.3215,347668.1698
30,kenya,Catch-up 30-45: TTV,cancer_deaths,297583.6324,289860.1914,305307.0734
30,kenya,Catch-up 30-45: TTV,vaccinations,1550898.1250,,
30,kenya,Catch-up 30-45: V,cancers,349756.9156,341589.2855,357924.5457
30,kenya,Catch-up 30-45: V,cancer_deaths,305594.8916,297276.1758,313913.6075
30,kenya,Catch-up 30-45: V,vaccinations,1550898.1250,,
30,kenya,Catch-up 30-45: TT,cancers,361337.5415,355424.0940,367250.9890
30,kenya,Catch-up 30-45: TT,cancer_deaths,313874.3242,308232.8271,319515.8212
30,kenya,Catch-up 30-45: TT,vaccinations,0.0000,,
30,kenya,Catch-up 30-50: TTV,cancers,334973.2939,328763.7218,341182.8661
30,kenya,Catch-up 30-50: TTV,cancer_deaths,293564.7818,286983.5391,300146.0245
30,kenya,Catch-up 30-50: TTV,vaccinations,1904617.2500,,
30,kenya,Catch-up 30-50: V,cancers,355041.0952,347825.3006,362256.8898
30,kenya,Catch-up 30-50: V,cancer_deaths,310444.7048,303836.2665,317053.1430
30,kenya,Catch-up 30-50: V,vaccinations,1904617.2500,,
30,kenya,Catch-up 30-50: TT,cancers,355551.0060,348477.2309,362624.7811
30,kenya,Catch-up 30-50: TT,cancer_deaths,308559.9271,301881.9905,315237.8638
30,kenya,Catch-up 30-50: TT,vaccinations,0.0000,,
30,kenya,Catch-up 30-55: TTV,cancers,334134.7742,327919.1571,340350.3912
30,kenya,Catch-up 30-55: TTV,cancer_deaths,293375.9272,287102.8976,299648.9568
