location,coverage,scenario,year,metric,value,low,high
kenya,70,Routine vax only,2052.0000,cancers,6897.0089,6696.8217,6983.8826
kenya,70,Routine vax only,2053.0000,cancers,6730.8159,6496.6347,6908.3398
kenya,70,Routine vax only,2054.0000,cancers,6560.8457,6334.2189,7025.4309
kenya,70,Routine vax only,2055.0000,cancers,6360.6590,5967.8389,6659.0506
kenya,70,Routine vax only,2056.0000,cancers,6447.5326,6251.1224,6613.7250
kenya,70,Routine vax only,2057.0000,cancers,6443.7550,5918.7365,6810.1347
kenya,70,Routine vax only,2058.0000,cancers,6100.0375,5884.7425,6273.7849
kenya,70,Routine vax only,2059.0000,cancers,6013.1644,5880.9652,6334.2191
kenya,70,Routine vax only,2060.0000,cancers,5816.7545,5722.3265,5982.9473
kenya,70,Routine vax only,2061.0000,cancers,5726.1036,5333.2839,5790.3146
kenya,70,Routine vax only,2062.0000,cancers,5677.0012,5363.5006,6005.6100
kenya,70,Routine vax only,2063.0000,cancers,5635.4529,5533.4708,5714.7724
kenya,70,Routine vax only,2064.0000,cancers,5227.5245,5034.8919,5382.3864
kenya,70,Routine vax only,2065.0000,cancers,5170.8681,4929.1329,5416.3806
kenya,70,Routine vax only,2066.0000,cancers,5151.9826,4921.5789,5197.3079
kenya,70,Routine vax only,2067.0000,cancers,4876.2531,4634.5182,5114.2114
kenya,70,Routine vax only,2068.0000,cancers,4766.7172,4449.4396,4838.4822
kenya,70,Routine vax only,2069.0000,cancers,4521.2048,4351.2346,4638.2953
kenya,70,Routine vax only,2070.0000,cancers,4411.6686,4162.3791,4653.4037
kenya,70,Routine vax only,2071.0000,cancers,4324.7950,4075.5056,4619.4097
kenya,70,Routine vax only,2072.0000,cancers,4185.0418,4041.5115,4268.1384
kenya,70,Routine vax only,2073.0000,cancers,3905.5353,3686.4629,4196.3731
kenya,70,Routine vax only,2074.0000,cancers,3788.4449,3626.0290,3920.6438
kenya,70,Routine vax only,2075.0000,cancers,3671.3544,3599.5892,3777.1135
kenya,70,Routine vax only,2076.0000,cancers,3546.7096,3395.6250,3750.6737
kenya,70,Routine vax only,2077.0000,cancers,3437.1733,3195.4381,3561.8180
kenya,70,Routine vax only,2078.0000,cancers,3289.8658,3127.4500,3406.9564
kenya,70,Routine vax only,2079.0000,cancers,3327.6370,2972.5883,3524.0469
kenya,70,Routine vax only,2080.0000,cancers,3161.4440,2995.2511,3259.6490
kenya,70,Routine vax only,2081.0000,cancers,2991.4739,2761.0700,3199.2152
kenya,70,Routine vax only,2082.0000,cancers,2915.9317,2659.0879,3089.6788
kenya,70,Routine vax only,2083.0000,cancers,2723.2988,2579.7685,2999.0281
kenya,70,Routine vax only,2084.0000,cancers,2730.8531,2557.1058,2897.0460
kenya,70,Routine vax only,2085.0000,cancers,2545.7745,2409.7984,2674.1963
kenya,70,Routine vax only,2086.0000,cancers,2606.2083,2474.0093,2742.1843
kenya,70,Routine vax only,2087.0000,cancers,2602.4312,2300.2621,2719.5217
kenya,70,Routine vax only,2088.0000,cancers,2470.2322,2368.2502,2606.2082
kenya,70,Routine vax only,2089.0000,cancers,2349.3645,2258.7138,2443.7924
kenya,70,Routine vax only,2090.0000,cancers,2288.9307,2134.0691,2496.6719
kenya,70,Routine vax only,2091.0000,cancers,2262.4909,2137.8462,2360.6958
kenya,70,Routine vax only,2092.0000,cancers,2247.3824,2160.5088,2349.3645
kenya,70,Routine vax only,2093.0000,cancers,2164.2859,2035.8641,2364.4730
kenya,70,Routine vax only,2094.0000,cancers,2141.6233,2050.9725,2477.7860
kenya,70,Routine vax only,2095.0000,cancers,2171.8400,2066.0810,2428.6835
kenya,70,Routine vax only,2096.0000,cancers,2096.2978,1914.9964,2168.0630
kenya,70,Routine vax only,2097.0000,cancers,2115.1835,1865.8940,2266.2677
kenya,70,Routine vax only,2098.0000,cancers,2024.5327,1888.5567,2202.0569
kenya,70,Routine vax only,2099.0000,cancers,2149.1774,2032.0869,2228.4967
kenya,70,Routine vax only,2100.0000,cancers,2069.8580,1952.7676,2288.9305
kenya,70,Catch-up to 30,2020.0000,asr_cancer_incidence,28.3099,26.5918,29.6408
kenya,70,Catch-up to 30,2021.0000,asr_cancer_incidence,28.5712,27.8268,30.2594
kenya,70,Catch-up to 30,2022.0000,asr_cancer_incidence,27.2760,26.2544,28.8867
kenya,70,Catch-up to 30,2023.0000,asr_cancer_incidence,27.1518,26.5305,28.9867
kenya,70,Catch-up to 30,2024.0000,asr_cancer_incidence,26.6493,25.3625,28.3601
